Latitude,Longitude,Total Deaths,Total Damages ('000 US$),Dis Mag Value
0,0,330.0,0.0,0.0
0,0,3.0,12000.0,0.0
0,0,11.0,6000.0,0.0
0,0,500.0,0.0,0.0
-1.5,-78.2,6000.0,20000.0,7.0
-38,-73.5,35.0,39000.0,7.0
-54,-71,6.0,5200.0,8.0
0,0,100.0,0.0,0.0
0,0,57000.0,0.0,0.0
0,0,1000.0,0.0,0.0
0,0,80.0,0.0,0.0
0,0,40000.0,15000.0,0.0
0,0,1000.0,0.0,0.0
28.5,96.5,1500.0,20000.0,9.0
0,0,2.0,1000.0,0.0
0,0,0.0,0.0,0.0
0,0,1.0,100000.0,0.0
0,0,500.0,0.0,0.0
7.8,-72.5,211.0,5000.0,0.0
0,0,50.0,0.0,0.0
0,0,45.0,0.0,0.0
0,0,200.0,0.0,0.0
0,0,92.0,20000.0,0.0
0,0,4800.0,0.0,0.0
0,0,500.0,0.0,0.0
0,0,1300.0,0.0,0.0
0,0,28.0,0.0,0.0
0,0,25.0,0.0,0.0
0,0,23.0,2000.0,0.0
0,0,34.0,0.0,0.0
0,0,4000.0,0.0,0.0
18.3,73.2,6.0,20000.0,0.0
0,0,400.0,0.0,0.0
-37.093,-72.866,12.0,500000.0,8.0
34.741,32.335,40.0,0.0,6.0
38.182,20.942,476.0,100000.0,7.0
0,0,11.0,0.0,0.0
0,0,481.0,0.0,0.0
-22.1,-68.7,3.0,7310.0,7.0
0,0,0.0,25000.0,0.0
0,0,71.0,0.0,0.0
0,0,50.0,0.0,0.0
0,0,114.0,0.0,0.0
0,0,400.0,0.0,0.0
36.283,1.467,1250.0,6000.0,7.0
36,66,2000.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,10.0,0.0,0.0
0,0,200.0,0.0,0.0
0,0,83.0,100000.0,249.0
0,0,2000.0,0.0,0.0
0,0,30000.0,0.0,0.0
0,0,140.0,0.0,0.0
0,0,47.0,0.0,0.0
0,0,0.0,0.0,0.0
39.3,22.2,31.0,3150.0,7.0
0,0,262.0,0.0,0.0
0,0,410.0,0.0,249.0
0,0,37.0,0.0,0.0
0,0,30.0,0.0,0.0
0,0,1500.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,70.0,0.0,0.0
0,0,16.0,5000.0,0.0
0,0,57.0,0.0,0.0
0,0,3.0,0.0,0.0
30,101.8,39.0,0.0,8.0
32.2,29.6,20.0,0.0,6.0
0,0,405.0,0.0,0.0
0,0,500.0,0.0,0.0
36.664,25.957,53.0,0.0,8.0
35.1,67.5,100.0,25000.0,8.0
0,0,51.0,0.0,0.0
0,0,4.0,0.0,0.0
0,0,30.0,0.0,0.0
0,0,36.0,0.0,0.0
0,0,2000.0,0.0,0.0
0,0,2000.0,0.0,0.0
37,-4,11.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,300.0,0.0,0.0
23,70,113.0,0.0,6.0
0,0,27.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,112.0,0.0,0.0
0,0,560.0,0.0,0.0
0,0,77.0,0.0,0.0
0,0,8.0,0.0,0.0
0,0,360.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,500.0,0.0,0.0
0,0,0.0,10100.0,0.0
0,0,0.0,0.0,0.0
0,0,35.0,0.0,0.0
-9.5,112.5,8.0,0.0,7.0
0,0,52.0,0.0,0.0
0,0,651.0,0.0,0.0
0,0,2000000.0,0.0,0.0
0,0,59.0,0.0,0.0
0,0,100.0,0.0,0.0
0,0,6.0,0.0,0.0
0,0,1064.0,0.0,0.0
0,0,720.0,0.0,0.0
0,0,187.0,0.0,0.0
